Country,Temperature,CountryCode,GDP,years_2020_2039,years_2040_2059,years_2080_2099
Hungary,12.3015,HUN,1.81848E+11,-11.87050112,-32.51049219,-52.68607475
Iceland,2.92025,ISL,25602419210,-50.00649017,-109.0930742,-233.7437409
India,25.41325,IND,3.1763E+12,5.080859657,6.019796073,11.36197681
Indonesia,26.467,IDN,1.18609E+12,-0.201357495,0.157055986,1.726550944
Iran,20.541,IRN,3.59713E+11,#N/A,#N/A,#N/A
Iraq,24.2405,IRQ,2.07889E+11,15.5511947,25.04536644,39.94565096
Ireland,9.97475,IRL,5.04183E+11,-7.972338527,-24.97665905,-43.8206398
Isle Of Man,9.230375,IMN,0,-8.709762017,-22.36428067,-42.53451543
Israel,21.222375,ISR,4.88527E+11,6.052686476,16.70061227,42.2140222
Italy,14.165,ITA,2.1077E+12,-3.375889268,-5.600974826,1.338138733
Jamaica,27.12533333,JAM,14657586937,-0.091787462,0.119774729,2.00518925
Japan,12.96475,JPN,4.94088E+12,-1.375810422,-1.258968937,5.673474515
Jordan,21.319125,JOR,45744271659,0.884399174,2.323732572,5.62919711
Kazakhstan,8.93725,KAZ,1.97112E+11,#N/A,#N/A,#N/A
Kenya,24.93525,KEN,1.10347E+11,-5.209779287,-8.002417263,-12.77023785
Kiribati,27.551375,KIR,207031250,2.78119913,5.724443119,7.44957623
Kuwait,27.273375,KWT,0,11.42053584,36.23360676,65.7852831
Latvia,7.322375,LVA,39853501580,-28.32065235,-64.96164015,-89.94875058
Lebanon,19.17825,LBN,23131940281,1.64348085,4.524984671,11.94625368
Lesotho,13.773625,LSO,2496134680,-13.0487048,-23.85174405,-35.67974516
Liberia,26.314,LBR,3509000000,1.013417308,2.691499858,5.62986927
Libya,24.314,LBY,42817472975,#N/A,#N/A,#N/A
Liechtenstein,6.002375,LIE,0,-18.59119936,-43.88883883,-85.83966956
Lithuania,7.804,LTU,66445256585,-23.77950347,-53.3704675,-75.1760081
Luxembourg,9.90025,LUX,85506243834,-16.50170592,-40.26949011,-78.17799131
Macau,23.473,MAC,30123914809,#N/A,#N/A,#N/A
Madagascar,22.9595,MDG,14472603323,-8.139198301,-14.71121826,-31.86571421
Malawi,21.269375,MWI,12626717492,-3.382138747,-4.143238597,-4.757292515
Malaysia,26.9735,MYS,3.72981E+11,-0.360060073,0.556640941,3.30580155
Mali,29.942,MLI,19140461606,24.20254353,46.07965379,97.93701279
Malta,19.437375,MLT,17364044944,6.095842356,16.54685696,28.6212544
Mauritania,29.11,MRT,9996249658,23.30719084,46.73491197,89.3432793
Mauritius,24.312375,MUS,11529042672,-2.231827139,-3.725812248,-0.715308724
Mexico,22.21922222,MEX,1.27284E+12,-0.679788448,2.540026945,11.30651842
Moldova,11.9605,MDA,13679221333,#N/A,#N/A,#N/A
Monaco,10.417,MCO,8596096984,-4.582154894,-7.964264527,-6.258677292
Mongolia,2.80775,MNG,15286441818,-20.429441,-51.40745332,-90.93053315
Montenegro,12.870375,MNE,5861268039,-10.41969948,-23.16084308,-37.52337232
Morocco,19.30525,MAR,1.42866E+11,-5.601360933,-11.72261647,-15.02618826
Mozambique,23.488,MOZ,15776758633,0.942970305,2.773193464,6.769013946
Namibia,21.265875,NAM,12310595844,-1.771112776,-0.646736041,2.017517063
Nepal,15.95125,NPL,36288830373,0.31423033,-0.448481057,4.766361592
Netherlands,9.4525,NLD,1.01285E+12,-15.75717373,-32.19848543,-54.22104321
New Caledonia,23.382375,NCL,10071351960,1.424373177,5.448756733,13.15432065
New Zealand,11.0885,NZL,2.49886E+11,-1.275569689,0.500134353,7.819957046
Nicaragua,26.87155556,NIC,14013022092,-0.785289911,-0.395617762,-0.085178806
Niger,29.231375,NER,14915001427,39.54178404,64.36433956,122.6345786
Nigeria,28.005875,NGA,4.40834E+11,5.515648081,11.28204924,21.23426623
North America,5.073888889,NAC,2.53107E+13,#N/A,#N/A,#N/A
Northern Mariana Islands,27.658875,MNP,0,2.505799986,3.405475347,3.767973511
Norway,1.735375,NOR,4.82175E+11,-54.01654062,-119.4129786,-240.321523
Oman,28.194375,OMN,88191977373,4.805794673,14.6536761,27.19113056
Pakistan,22.320875,PAK,3.48263E+11,24.28031979,49.08633996,80.91746729
Palau,27.820375,PLW,217800000,1.665636821,3.553784426,7.012592029
Panama,27.2175,PAN,63605100000,-0.464015515,-0.080241049,2.445105444
Papua New Guinea,25.069125,PNG,26594305746,-0.944706094,-1.109605932,-1.719871388
Paraguay,22.81775,PRY,39495431574,-0.586794428,0.652994957,6.320518719
Peru,19.97625,PER,2.23249E+11,-4.412728371,-8.763203408,-11.28045097
Philippines,27.41675,PHL,3.94086E+11,0.984811452,2.58760638,4.278677787
Poland,9.257875,POL,6.79445E+11,-21.03510479,-52.67547643,-99.9160558
Portugal,15.88925,PRT,2.53663E+11,-2.839095329,1.655596571,11.54800211
Puerto Rico,26.28322222,PRI,1.06526E+11,0.880137835,4.150040828,12.73584118
Qatar,28.57375,QAT,1.79677E+11,8.168316694,31.63699674,53.5011039
Romania,11.6455,ROU,2.84088E+11,-11.77646541,-29.84704291,-37.37730537
Russia,-2.263125,RUS,1.77878E+12,#N/A,#N/A,#N/A
Rwanda,20.103875,RWA,11070356519,-11.74242017,-24.14300581,-44.34387713
Samoa,27.1765,WSM,843842416.5,0.111231556,0.841528676,1.751799699
San Marino,15.115625,SMR,0,-9.526214437,-19.93284424,-30.01071719
Sao Tome And Principe,26.5325,STP,526653790.7,-4.325146176,-10.92050435,-22.61480052
Saudi Arabia,27.74075,SAU,8.33541E+11,9.770062476,25.02616645,38.79046505
Senegal,29.3015,SEN,27625388352,8.297283934,18.51398073,39.67778949
Serbia,12.843625,SRB,63082047650,#N/A,#N/A,#N/A
Seychelles,27.451625,SYC,1454458184,1.107150503,2.232576642,1.521961336
Sierra Leone,26.948,SLE,4042237864,3.37326528,8.339425851,17.20470235
Singapore,27.602875,SGP,3.96987E+11,-4.048320649,-5.776060041,-1.276722802
Slovakia,9.685625,SVK,1.16527E+11,-18.9586558,-53.88464132,-101.9539539
Slovenia,11.74475,SVN,61748586535,-16.49534589,-42.21556739,-72.75772152
Solomon Islands,27.21025,SLB,1631486532,-0.429991806,-0.745165959,-1.424533737
Somalia,27.975625,SOM,7628000011,13.5040166,24.64209679,49.68437971
South Africa,17.325375,ZAF,4.19015E+11,-2.365419828,-0.795261527,5.91423281
Spain,14.858875,ESP,1.42738E+12,1.696293071,7.008169888,20.76211451
Sri Lanka,28.175125,LKA,88927263725,1.88014462,5.375157608,8.900837808
Sudan,28.572,SDN,34326058557,21.28958226,48.45949256,95.84297556
Suriname,26.95725,SUR,2984706244,0.270633326,1.252758707,5.305682455
Sweden,4.19975,SWE,6.35664E+11,-44.09759897,-95.37329207,-190.4092435
Switzerland,8.1775,CHE,8.0064E+11,-25.82777028,-62.34544006,-105.1053637
Syria,20.021125,SYR,0,#N/A,#N/A,#N/A
Tajikistan,6.562625,TJK,8746270636,-0.133888822,0.417666598,-5.811309049
Tanzania,22.77275,TZA,67841049193,#N/A,#N/A,#N/A
Thailand,27.864875,THA,5.05947E+11,4.909174658,7.433999698,11.72642247
Togo,27.718,TGO,8413200568,11.13648246,28.7590218,68.96747805
Tonga,24.285875,TON,469231309.5,-1.673690202,-1.03250628,-0.0627647
Trinidad And Tobago,27.086625,TTO,24460196271,-1.003812684,-1.305201625,2.542779838
Tunisia,21.887125,TUN,46686741814,2.559704908,5.899453434,12.12762945
Turkey,14.026625,TUR,8.19035E+11,-0.668417891,-2.208091453,-3.603894387
Turkmenistan,18.6135,TKM,0,4.901035815,8.627818069,9.34798618
Uganda,24.024625,UGA,40529789026,-3.79935395,-5.099314179,-9.321343026
Ukraine,10.9135,UKR,2.00086E+11,-15.85296523,-31.8457205,-44.0114279
United Arab Emirates,29.370625,ARE,4.15022E+11,6.655172725,23.50501056,44.83852397
United Kingdom,8.9975,GBR,3.13138E+12,-14.81331397,-32.74995752,-50.30542908
United States,11.29711111,USA,2.33151E+13,-2.659984736,-6.108819508,-11.22118114
Uruguay,16.754375,URY,59319484711,-1.96964928,0.413821357,6.099486436
Uzbekistan,16.18825,UZB,69238903106,1.738778948,2.609015257,0.44890149
Venezuela,25.912875,VEN,0,0.514664451,2.226283962,6.984919552
Vietnam,25.232125,VNM,3.66138E+11,1.939065302,1.378205222,2.934017796
Virgin Islands,27.31233333,VIR,0,#N/A,#N/A,#N/A
Yemen,28.12975,YEM,0,-0.486844522,2.217040025,5.746907561
Zambia,21.196,ZMB,22147634727,-2.813335584,-3.339572537,-3.365193445
Zimbabwe,20.71075,ZWE,28371238666,-9.196335851,-13.30888396,-21.93424061
